P 2525.090, -668.780, 0.0000, 205, 120, 45, 3, N
P 2525.090, -462.780, 0.0000, 115, 110, 104, 1, S
P 2620.090, -557.780, 0.0000, 115, 110, 104, 1, E
P 2430.090, -557.780, 0.0000, 115, 110, 104, 1, W
L 110.313, -826.212, 0.0000, 113.160, -811.780, 0.0000, 205, 120, 45
L 113.160, -811.780, 0.0000, 110.313, -797.348, 0.0000, 205, 120, 45
L 110.313, -797.348, 0.0000, 102.198, -785.079, 0.0000, 205, 120, 45
L 102.198, -785.079, 0.0000, 90.032, -776.811, 0.0000, 205, 120, 45
L 90.032, -776.811, 0.0000, 75.638, -773.783, 0.0000, 205, 120, 45
L 75.638, -773.783, 0.0000, 61.171, -776.448, 0.0000, 205, 120, 45
L 361.171, -847.112, 0.0000, 375.638, -849.777, 0.0000, 205, 120, 45
L 375.638, -849.777, 0.0000, 390.032, -846.749, 0.0000, 205, 120, 45
L 390.032, -846.749, 0.0000, 402.198, -838.481, 0.0000, 205, 120, 45
L 402.198, -838.481, 0.0000, 410.313, -826.212, 0.0000, 205, 120, 45
L 410.313, -826.212, 0.0000, 413.160, -811.780, 0.0000, 205, 120, 45
L 413.160, -811.780, 0.0000, 410.313, -797.348, 0.0000, 205, 120, 45
L 410.313, -797.348, 0.0000, 402.198, -785.079, 0.0000, 205, 120, 45
L 402.198, -785.079, 0.0000, 390.032, -776.811, 0.0000, 205, 120, 45
L 390.032, -776.811, 0.0000, 375.638, -773.783, 0.0000, 205, 120, 45
L 375.638, -773.783, 0.0000, 361.171, -776.448, 0.0000, 205, 120, 45
L 661.171, -847.112, 0.0000, 675.638, -849.777, 0.0000, 205, 120, 45
L 675.638, -849.777, 0.0000, 690.032, -846.749, 0.0000, 205, 120, 45
L 690.032, -846.749, 0.0000, 702.198, -838.481, 0.0000, 205, 120, 45
L 702.198, -838.481, 0.0000, 710.313, -826.212, 0.0000, 205, 120, 45
L 710.313, -826.212, 0.0000, 713.160, -811.780, 0.0000, 205, 120, 45
L 713.160, -811.780, 0.0000, 710.313, -797.348, 0.0000, 205, 120, 45
L 710.313, -797.348, 0.0000, 702.198, -785.079, 0.0000, 205, 120, 45
L 702.198, -785.079, 0.0000, 690.032, -776.811, 0.0000, 205, 120, 45
L 690.032, -776.811, 0.0000, 675.638, -773.783, 0.0000, 205, 120, 45
L 675.638, -773.783, 0.0000, 661.171, -776.448, 0.0000, 205, 120, 45
L 961.171, -847.112, 0.0000, 975.638, -849.777, 0.0000, 205, 120, 45
L 975.638, -849.777, 0.0000, 990.032, -846.749, 0.0000, 205, 120, 45
L 990.032, -846.749, 0.0000, 1002.198, -838.481, 0.0000, 205, 120, 45
L 1002.198, -838.481, 0.0000, 1010.313, -826.212, 0.0000, 205, 120, 45
L 1010.313, -826.212, 0.0000, 1013.160, -811.780, 0.0000, 205, 120, 45
L 1013.160, -811.780, 0.0000, 1010.313, -797.348, 0.0000, 205, 120, 45
L 1010.313, -797.348, 0.0000, 1002.198, -785.079, 0.0000, 205, 120, 45
L 1002.198, -785.079, 0.0000, 990.032, -776.811, 0.0000, 205, 120, 45
L 990.032, -776.811, 0.0000, 975.638, -773.783, 0.0000, 205, 120, 45
L 975.638, -773.783, 0.0000, 961.171, -776.448, 0.0000, 205, 120, 45
L 1261.171, -847.112, 0.0000, 1275.638, -849.777, 0.0000, 205, 120, 45
L 1275.638, -849.777, 0.0000, 1290.032, -846.749, 0.0000, 205, 120, 45
L 1290.032, -846.749, 0.0000, 1302.198, -838.481, 0.0000, 205, 120, 45
L 1302.198, -838.481, 0.0000, 1310.313, -826.212, 0.0000, 205, 120, 45
L 1310.313, -826.212, 0.0000, 1313.160, -811.780, 0.0000, 205, 120, 45
L 1313.160, -811.780, 0.0000, 1310.313, -797.348, 0.0000, 205, 120, 45
L 1310.313, -797.348, 0.0000, 1302.198, -785.079, 0.0000, 205, 120, 45
L 1302.198, -785.079, 0.0000, 1290.032, -776.811, 0.0000, 205, 120, 45
L 1290.032, -776.811, 0.0000, 1275.638, -773.783, 0.0000, 205, 120, 45
L 1275.638, -773.783, 0.0000, 1261.171, -776.448, 0.0000, 205, 120, 45
L 1561.171, -847.112, 0.0000, 1575.638, -849.777, 0.0000, 205, 120, 45
L 1575.638, -849.777, 0.0000, 1590.032, -846.749, 0.0000, 205, 120, 45
L 1590.032, -846.749, 0.0000, 1602.198, -838.481, 0.0000, 205, 120, 45
L 1602.198, -838.481, 0.0000, 1610.313, -826.212, 0.0000, 205, 120, 45
L 1610.313, -826.212, 0.0000, 1613.160, -811.780, 0.0000, 205, 120, 45
L 1613.160, -811.780, 0.0000, 1610.313, -797.348, 0.0000, 205, 120, 45
L 1610.313, -797.348, 0.0000, 1602.198, -785.079, 0.0000, 205, 120, 45
L 1602.198, -785.079, 0.0000, 1590.032, -776.811, 0.0000, 205, 120, 45
L 1590.032, -776.811, 0.0000, 1575.638, -773.783, 0.0000, 205, 120, 45
L 1575.638, -773.783, 0.0000, 1561.171, -776.448, 0.0000, 205, 120, 45
L 1861.171, -847.112, 0.0000, 1875.638, -849.777, 0.0000, 205, 120, 45
L 1875.638, -849.777, 0.0000, 1890.032, -846.749, 0.0000, 205, 120, 45
L 1890.032, -846.749, 0.0000, 1902.198, -838.481, 0.0000, 205, 120, 45
L 1902.198, -838.481, 0.0000, 1910.313, -826.212, 0.0000, 205, 120, 45
L 1910.313, -826.212, 0.0000, 1913.160, -811.780, 0.0000, 205, 120, 45
L 1913.160, -811.780, 0.0000, 1910.313, -797.348, 0.0000, 205, 120, 45
L 1910.313, -797.348, 0.0000, 1902.198, -785.079, 0.0000, 205, 120, 45
L 1902.198, -785.079, 0.0000, 1890.032, -776.811, 0.0000, 205, 120, 45
L 1890.032, -776.811, 0.0000, 1875.638, -773.783, 0.0000, 205, 120, 45
L 1875.638, -773.783, 0.0000, 1861.171, -776.448, 0.0000, 205, 120, 45
L 2161.171, -847.112, 0.0000, 2175.638, -849.777, 0.0000, 205, 120, 45
L 2175.638, -849.777, 0.0000, 2190.032, -846.749, 0.0000, 205, 120, 45
L 2190.032, -846.749, 0.0000, 2202.198, -838.481, 0.0000, 205, 120, 45
L 2202.198, -838.481, 0.0000, 2210.313, -826.212, 0.0000, 205, 120, 45
L 2210.313, -826.212, 0.0000, 2213.160, -811.780, 0.0000, 205, 120, 45
L 2213.160, -811.780, 0.0000, 2210.313, -797.348, 0.0000, 205, 120, 45
L 2210.313, -797.348, 0.0000, 2202.198, -785.079, 0.0000, 205, 120, 45
L 2202.198, -785.079, 0.0000, 2190.032, -776.811, 0.0000, 205, 120, 45
L 2190.032, -776.811, 0.0000, 2175.638, -773.783, 0.0000, 205, 120, 45
L 2175.638, -773.783, 0.0000, 2161.171, -776.448, 0.0000, 205, 120, 45
L -360.851, 1378.802, 0.0000, -375.318, 1381.467, 0.0000, 155, 48, 36
L -375.318, 1381.467, 0.0000, -389.712, 1378.439, 0.0000, 155, 48, 36
L -389.712, 1378.439, 0.0000, -401.878, 1370.171, 0.0000, 155, 48, 36
L -401.878, 1370.171, 0.0000, -409.993, 1357.902, 0.0000, 155, 48, 36
L -409.993, 1357.902, 0.0000, -412.840, 1343.470, 0.0000, 155, 48, 36
L -412.840, 1343.470, 0.0000, -409.993, 1329.038, 0.0000, 155, 48, 36
L -409.993, 1329.038, 0.0000, -401.878, 1316.769, 0.0000, 155, 48, 36
L -401.878, 1316.769, 0.0000, -389.712, 1308.501, 0.0000, 155, 48, 36
L -389.712, 1308.501, 0.0000, -375.318, 1305.473, 0.0000, 155, 48, 36
L -375.318, 1305.473, 0.0000, -360.851, 1308.138, 0.0000, 155, 48, 36
L -210.851, 1378.802, 0.0000, -225.318, 1381.467, 0.0000, 205, 120, 45
L -225.318, 1381.467, 0.0000, -239.712, 1378.439, 0.0000, 205, 120, 45
L -239.712, 1378.439, 0.0000, -251.878, 1370.171, 0.0000, 205, 120, 45
L -251.878, 1370.171, 0.0000, -259.993, 1357.902, 0.0000, 205, 120, 45
L -259.993, 1357.902, 0.0000, -262.840, 1343.470, 0.0000, 205, 120, 45
L -262.840, 1343.470, 0.0000, -259.993, 1329.038, 0.0000, 205, 120, 45
L -259.993, 1329.038, 0.0000, -251.878, 1316.769, 0.0000, 205, 120, 45
L -251.878, 1316.769, 0.0000, -239.712, 1308.501, 0.0000, 205, 120, 45
L -239.712, 1308.501, 0.0000, -225.318, 1305.473, 0.0000, 205, 120, 45
L -225.318, 1305.473, 0.0000, -210.851, 1308.138, 0.0000, 205, 120, 45
L -60.851, 1378.802, 0.0000, -75.318, 1381.467, 0.0000, 155, 48, 36
L -75.318, 1381.467, 0.0000, -89.712, 1378.439, 0.0000, 155, 48, 36
L -89.712, 1378.439, 0.0000, -101.878, 1370.171, 0.0000, 155, 48, 36
L -101.878, 1370.171, 0.0000, -109.993, 1357.902, 0.0000, 155, 48, 36
L -109.993, 1357.902, 0.0000, -112.840, 1343.470, 0.0000, 155, 48, 36
L -112.840, 1343.470, 0.0000, -109.993, 1329.038, 0.0000, 155, 48, 36
L -109.993, 1329.038, 0.0000, -101.878, 1316.769, 0.0000, 155, 48, 36
L -101.878, 1316.769, 0.0000, -89.712, 1308.501, 0.0000, 155, 48, 36
L -89.712, 1308.501, 0.0000, -75.318, 1305.473, 0.0000, 155, 48, 36
L -75.318, 1305.473, 0.0000, -60.851, 1308.138, 0.0000, 155, 48, 36
L 89.149, 1378.802, 0.0000, 74.682, 1381.467, 0.0000, 205, 120, 45
L 74.682, 1381.467, 0.0000, 60.288, 1378.439, 0.0000, 205, 120, 45
L 60.288, 1378.439, 0.0000, 48.122, 1370.171, 0.0000, 205, 120, 45
L 48.122, 1370.171, 0.0000, 40.007, 1357.902, 0.0000, 205, 120, 45
L 40.007, 1357.902, 0.0000, 37.160, 1343.470, 0.0000, 205, 120, 45
L 37.160, 1343.470, 0.0000, 40.007, 1329.038, 0.0000, 205, 120, 45
L 40.007, 1329.038, 0.0000, 48.122, 1316.769, 0.0000, 205, 120, 45
L 48.122, 1316.769, 0.0000, 60.288, 1308.501, 0.0000, 205, 120, 45
L 60.288, 1308.501, 0.0000, 74.682, 1305.473, 0.0000, 205, 120, 45
L 74.682, 1305.473, 0.0000, 89.149, 1308.138, 0.0000, 205, 120, 45
L 239.149, 1378.802, 0.0000, 224.682, 1381.467, 0.0000, 155, 48, 36
L 224.682, 1381.467, 0.0000, 210.288, 1378.439, 0.0000, 155, 48, 36
L 210.288, 1378.439, 0.0000, 198.122, 1370.171, 0.0000, 155, 48, 36
L 198.122, 1370.171, 0.0000, 190.007, 1357.902, 0.0000, 155, 48, 36
L 190.007, 1357.902, 0.0000, 187.160, 1343.470, 0.0000, 155, 48, 36
L 187.160, 1343.470, 0.0000, 190.007, 1329.038, 0.0000, 155, 48, 36
L 190.007, 1329.038, 0.0000, 198.122, 1316.769, 0.0000, 155, 48, 36
L 198.122, 1316.769, 0.0000, 210.288, 1308.501, 0.0000, 155, 48, 36
L 210.288, 1308.501, 0.0000, 224.682, 1305.473, 0.0000, 155, 48, 36
L 224.682, 1305.473, 0.0000, 239.149, 1308.138, 0.0000, 155, 48, 36
L 389.149, 1378.802, 0.0000, 374.682, 1381.467, 0.0000, 205, 120, 45
L 374.682, 1381.467, 0.0000, 360.288, 1378.439, 0.0000, 205, 120, 45
L 360.288, 1378.439, 0.0000, 348.122, 1370.171, 0.0000, 205, 120, 45
L 348.122, 1370.171, 0.0000, 340.007, 1357.902, 0.0000, 205, 120, 45
L 340.007, 1357.902, 0.0000, 337.160, 1343.470, 0.0000, 205, 120, 45
L 337.160, 1343.470, 0.0000, 340.007, 1329.038, 0.0000, 205, 120, 45
L 340.007, 1329.038, 0.0000, 348.122, 1316.769, 0.0000, 205, 120, 45
L 348.122, 1316.769, 0.0000, 360.288, 1308.501, 0.0000, 205, 120, 45
L 360.288, 1308.501, 0.0000, 374.682, 1305.473, 0.0000, 205, 120, 45
L 374.682, 1305.473, 0.0000, 389.149, 1308.138, 0.0000, 205, 120, 45
L 539.149, 1378.802, 0.0000, 524.682, 1381.467, 0.0000, 155, 48, 36
L 524.682, 1381.467, 0.0000, 510.288, 1378.439, 0.0000, 155, 48, 36
L 510.288, 1378.439, 0.0000, 498.122, 1370.171, 0.0000, 155, 48, 36
L 498.122, 1370.171, 0.0000, 490.007, 1357.902, 0.0000, 155, 48, 36
L 490.007, 1357.902, 0.0000, 487.160, 1343.470, 0.0000, 155, 48, 36
L 487.160, 1343.470, 0.0000, 490.007, 1329.038, 0.0000, 155, 48, 36
L 490.007, 1329.038, 0.0000, 498.122, 1316.769, 0.0000, 155, 48, 36
L 498.122, 1316.769, 0.0000, 510.288, 1308.501, 0.0000, 155, 48, 36
L 510.288, 1308.501, 0.0000, 524.682, 1305.473, 0.0000, 155, 48, 36
L 524.682, 1305.473, 0.0000, 539.149, 1308.138, 0.0000, 155, 48, 36
L 689.149, 1378.802, 0.0000, 674.682, 1381.467, 0.0000, 205, 120, 45
L 674.682, 1381.467, 0.0000, 660.288, 1378.439, 0.0000, 205, 120, 45
L 660.288, 1378.439, 0.0000, 648.122, 1370.171, 0.0000, 205, 120, 45
L 648.122, 1370.171, 0.0000, 640.007, 1357.902, 0.0000, 205, 120, 45
L 640.007, 1357.902, 0.0000, 637.160, 1343.470, 0.0000, 205, 120, 45
L 637.160, 1343.470, 0.0000, 640.007, 1329.038, 0.0000, 205, 120, 45
L 640.007, 1329.038, 0.0000, 648.122, 1316.769, 0.0000, 205, 120, 45
L 648.122, 1316.769, 0.0000, 660.288, 1308.501, 0.0000, 205, 120, 45
L 660.288, 1308.501, 0.0000, 674.682, 1305.473, 0.0000, 205, 120, 45
L 674.682, 1305.473, 0.0000, 689.149, 1308.138, 0.0000, 205, 120, 45
L 839.149, 1378.802, 0.0000, 824.682, 1381.467, 0.0000, 155, 48, 36
L 824.682, 1381.467, 0.0000, 810.288, 1378.439, 0.0000, 155, 48, 36
L 810.288, 1378.439, 0.0000, 798.122, 1370.171, 0.0000, 155, 48, 36
L 798.122, 1370.171, 0.0000, 790.007, 1357.902, 0.0000, 155, 48, 36
L 790.007, 1357.902, 0.0000, 787.160, 1343.470, 0.0000, 155, 48, 36
L 787.160, 1343.470, 0.0000, 790.007, 1329.038, 0.0000, 155, 48, 36
L 790.007, 1329.038, 0.0000, 798.122, 1316.769, 0.0000, 155, 48, 36
L 798.122, 1316.769, 0.0000, 810.288, 1308.501, 0.0000, 155, 48, 36
L 810.288, 1308.501, 0.0000, 824.682, 1305.473, 0.0000, 155, 48, 36
L 824.682, 1305.473, 0.0000, 839.149, 1308.138, 0.0000, 155, 48, 36
L 989.149, 1378.802, 0.0000, 974.682, 1381.467, 0.0000, 205, 120, 45
L 974.682, 1381.467, 0.0000, 960.288, 1378.439, 0.0000, 205, 120, 45
L 960.288, 1378.439, 0.0000, 948.122, 1370.171, 0.0000, 205, 120, 45
L 948.122, 1370.171, 0.0000, 940.007, 1357.902, 0.0000, 205, 120, 45
L 940.007, 1357.902, 0.0000, 937.160, 1343.470, 0.0000, 205, 120, 45
L 937.160, 1343.470, 0.0000, 940.007, 1329.038, 0.0000, 205, 120, 45
L 940.007, 1329.038, 0.0000, 948.122, 1316.769, 0.0000, 205, 120, 45
L 948.122, 1316.769, 0.0000, 960.288, 1308.501, 0.0000, 205, 120, 45
L 960.288, 1308.501, 0.0000, 974.682, 1305.473, 0.0000, 205, 120, 45
L 974.682, 1305.473, 0.0000, 989.149, 1308.138, 0.0000, 205, 120, 45
L 1139.149, 1378.802, 0.0000, 1124.682, 1381.467, 0.0000, 155, 48, 36
L 1124.682, 1381.467, 0.0000, 1110.288, 1378.439, 0.0000, 155, 48, 36
L 1110.288, 1378.439, 0.0000, 1098.122, 1370.171, 0.0000, 155, 48, 36
L 1098.122, 1370.171, 0.0000, 1090.007, 1357.902, 0.0000, 155, 48, 36
L 1090.007, 1357.902, 0.0000, 1087.160, 1343.470, 0.0000, 155, 48, 36
L 1087.160, 1343.470, 0.0000, 1090.007, 1329.038, 0.0000, 155, 48, 36
L 1090.007, 1329.038, 0.0000, 1098.122, 1316.769, 0.0000, 155, 48, 36
L 1098.122, 1316.769, 0.0000, 1110.288, 1308.501, 0.0000, 155, 48, 36
L 1110.288, 1308.501, 0.0000, 1124.682, 1305.473, 0.0000, 155, 48, 36
L 1124.682, 1305.473, 0.0000, 1139.149, 1308.138, 0.0000, 155, 48, 36
L 1289.149, 1378.802, 0.0000, 1274.682, 1381.467, 0.0000, 205, 120, 45
L 1274.682, 1381.467, 0.0000, 1260.288, 1378.439, 0.0000, 205, 120, 45
L 1260.288, 1378.439, 0.0000, 1248.122, 1370.171, 0.0000, 205, 120, 45
L 1248.122, 1370.171, 0.0000, 1240.007, 1357.902, 0.0000, 205, 120, 45
L 1240.007, 1357.902, 0.0000, 1237.160, 1343.470, 0.0000, 205, 120, 45
L 1237.160, 1343.470, 0.0000, 1240.007, 1329.038, 0.0000, 205, 120, 45
L 1240.007, 1329.038, 0.0000, 1248.122, 1316.769, 0.0000, 205, 120, 45
L 1248.122, 1316.769, 0.0000, 1260.288, 1308.501, 0.0000, 205, 120, 45
L 1260.288, 1308.501, 0.0000, 1274.682, 1305.473, 0.0000, 205, 120, 45
L 1274.682, 1305.473, 0.0000, 1289.149, 1308.138, 0.0000, 205, 120, 45
L 1439.149, 1378.802, 0.0000, 1424.682, 1381.467, 0.0000, 155, 48, 36
L 1424.682, 1381.467, 0.0000, 1410.288, 1378.439, 0.0000, 155, 48, 36
L 1410.288, 1378.439, 0.0000, 1398.122, 1370.171, 0.0000, 155, 48, 36
L 1398.122, 1370.171, 0.0000, 1390.007, 1357.902, 0.0000, 155, 48, 36
L 1390.007, 1357.902, 0.0000, 1387.160, 1343.470, 0.0000, 155, 48, 36
L 1387.160, 1343.470, 0.0000, 1390.007, 1329.038, 0.0000, 155, 48, 36
L 1390.007, 1329.038, 0.0000, 1398.122, 1316.769, 0.0000, 155, 48, 36
L 1398.122, 1316.769, 0.0000, 1410.288, 1308.501, 0.0000, 155, 48, 36
L 1410.288, 1308.501, 0.0000, 1424.682, 1305.473, 0.0000, 155, 48, 36
L 1424.682, 1305.473, 0.0000, 1439.149, 1308.138, 0.0000, 155, 48, 36
L 1589.149, 1378.802, 0.0000, 1574.682, 1381.467, 0.0000, 205, 120, 45
L 1574.682, 1381.467, 0.0000, 1560.288, 1378.439, 0.0000, 205, 120, 45
L 1560.288, 1378.439, 0.0000, 1548.122, 1370.171, 0.0000, 205, 120, 45
L 1548.122, 1370.171, 0.0000, 1540.007, 1357.902, 0.0000, 205, 120, 45
L 1540.007, 1357.902, 0.0000, 1537.160, 1343.470, 0.0000, 205, 120, 45
L 1537.160, 1343.470, 0.0000, 1540.007, 1329.038, 0.0000, 205, 120, 45
L 1540.007, 1329.038, 0.0000, 1548.122, 1316.769, 0.0000, 205, 120, 45
L 1548.122, 1316.769, 0.0000, 1560.288, 1308.501, 0.0000, 205, 120, 45
L 1560.288, 1308.501, 0.0000, 1574.682, 1305.473, 0.0000, 205, 120, 45
L 1574.682, 1305.473, 0.0000, 1589.149, 1308.138, 0.0000, 205, 120, 45
L 1739.149, 1378.802, 0.0000, 1724.682, 1381.467, 0.0000, 155, 48, 36
L 1724.682, 1381.467, 0.0000, 1710.288, 1378.439, 0.0000, 155, 48, 36
L 1710.288, 1378.439, 0.0000, 1698.122, 1370.171, 0.0000, 155, 48, 36
L 1698.122, 1370.171, 0.0000, 1690.007, 1357.902, 0.0000, 155, 48, 36
L 1690.007, 1357.902, 0.0000, 1687.160, 1343.470, 0.0000, 155, 48, 36
L 1687.160, 1343.470, 0.0000, 1690.007, 1329.038, 0.0000, 155, 48, 36
L 1690.007, 1329.038, 0.0000, 1698.122, 1316.769, 0.0000, 155, 48, 36
L 1698.122, 1316.769, 0.0000, 1710.288, 1308.501, 0.0000, 155, 48, 36
L 1710.288, 1308.501, 0.0000, 1724.682, 1305.473, 0.0000, 155, 48, 36
L 1724.682, 1305.473, 0.0000, 1739.149, 1308.138, 0.0000, 155, 48, 36
L 1889.149, 1378.802, 0.0000, 1874.682, 1381.467, 0.0000, 205, 120, 45
L 1874.682, 1381.467, 0.0000, 1860.288, 1378.439, 0.0000, 205, 120, 45
L 1860.288, 1378.439, 0.0000, 1848.122, 1370.171, 0.0000, 205, 120, 45
L 1848.122, 1370.171, 0.0000, 1840.007, 1357.902, 0.0000, 205, 120, 45
L 1840.007, 1357.902, 0.0000, 1837.160, 1343.470, 0.0000, 205, 120, 45
L 1837.160, 1343.470, 0.0000, 1840.007, 1329.038, 0.0000, 205, 120, 45
L 1840.007, 1329.038, 0.0000, 1848.122, 1316.769, 0.0000, 205, 120, 45
L 1848.122, 1316.769, 0.0000, 1860.288, 1308.501, 0.0000, 205, 120, 45
L 1860.288, 1308.501, 0.0000, 1874.682, 1305.473, 0.0000, 205, 120, 45
L 1874.682, 1305.473, 0.0000, 1889.149, 1308.138, 0.0000, 205, 120, 45
L 2039.149, 1378.802, 0.0000, 2024.682, 1381.467, 0.0000, 155, 48, 36
L 2024.682, 1381.467, 0.0000, 2010.288, 1378.439, 0.0000, 155, 48, 36
L 2010.288, 1378.439, 0.0000, 1998.122, 1370.171, 0.0000, 155, 48, 36
L 1998.122, 1370.171, 0.0000, 1990.007, 1357.902, 0.0000, 155, 48, 36
L 1990.007, 1357.902, 0.0000, 1987.160, 1343.470, 0.0000, 155, 48, 36
L 1987.160, 1343.470, 0.0000, 1990.007, 1329.038, 0.0000, 155, 48, 36
L 1990.007, 1329.038, 0.0000, 1998.122, 1316.769, 0.0000, 155, 48, 36
L 1998.122, 1316.769, 0.0000, 2010.288, 1308.501, 0.0000, 155, 48, 36
L 2010.288, 1308.501, 0.0000, 2024.682, 1305.473, 0.0000, 155, 48, 36
L 2024.682, 1305.473, 0.0000, 2039.149, 1308.138, 0.0000, 155, 48, 36
L 2189.149, 1378.802, 0.0000, 2174.682, 1381.467, 0.0000, 205, 120, 45
L 2174.682, 1381.467, 0.0000, 2160.288, 1378.439, 0.0000, 205, 120, 45
L 2160.288, 1378.439, 0.0000, 2148.122, 1370.171, 0.0000, 205, 120, 45
L 2148.122, 1370.171, 0.0000, 2140.007, 1357.902, 0.0000, 205, 120, 45
L 2140.007, 1357.902, 0.0000, 2137.160, 1343.470, 0.0000, 205, 120, 45
L 2137.160, 1343.470, 0.0000, 2140.007, 1329.038, 0.0000, 205, 120, 45
L 2140.007, 1329.038, 0.0000, 2148.122, 1316.769, 0.0000, 205, 120, 45
L 2148.122, 1316.769, 0.0000, 2160.288, 1308.501, 0.0000, 205, 120, 45
L 2160.288, 1308.501, 0.0000, 2174.682, 1305.473, 0.0000, 205, 120, 45
L 2174.682, 1305.473, 0.0000, 2189.149, 1308.138, 0.0000, 205, 120, 45
L 2339.149, 1378.802, 0.0000, 2324.682, 1381.467, 0.0000, 155, 48, 36
L 2324.682, 1381.467, 0.0000, 2310.288, 1378.439, 0.0000, 155, 48, 36
L 2310.288, 1378.439, 0.0000, 2298.122, 1370.171, 0.0000, 155, 48, 36
L 2298.122, 1370.171, 0.0000, 2290.007, 1357.902, 0.0000, 155, 48, 36
L 2290.007, 1357.902, 0.0000, 2287.160, 1343.470, 0.0000, 155, 48, 36
L 2287.160, 1343.470, 0.0000, 2290.007, 1329.038, 0.0000, 155, 48, 36
L 2290.007, 1329.038, 0.0000, 2298.122, 1316.769, 0.0000, 155, 48, 36
L 2298.122, 1316.769, 0.0000, 2310.288, 1308.501, 0.0000, 155, 48, 36
L 2310.288, 1308.501, 0.0000, 2324.682, 1305.473, 0.0000, 155, 48, 36
L 2324.682, 1305.473, 0.0000, 2339.149, 1308.138, 0.0000, 155, 48, 36
L -485.172, -572.791, 0.0000, -487.837, -587.258, 0.0000, 205, 120, 45
L -487.837, -587.258, 0.0000, -484.809, -601.652, 0.0000, 205, 120, 45
L -484.809, -601.652, 0.0000, -476.541, -613.818, 0.0000, 205, 120, 45
L -476.541, -613.818, 0.0000, -464.272, -621.933, 0.0000, 205, 120, 45
L -464.272, -621.933, 0.0000, -449.840, -624.780, 0.0000, 205, 120, 45
L -485.172, -422.791, 0.0000, -487.837, -437.258, 0.0000, 155, 48, 36
L -411.843, -437.258, 0.0000, -414.508, -422.791, 0.0000, 155, 48, 36
L -485.172, -272.791, 0.0000, -487.837, -287.258, 0.0000, 205, 120, 45
L -487.837, -287.258, 0.0000, -484.809, -301.652, 0.0000, 205, 120, 45
L -484.809, -301.652, 0.0000, -476.541, -313.818, 0.0000, 205, 120, 45
L -476.541, -313.818, 0.0000, -464.272, -321.933, 0.0000, 205, 120, 45
L -464.272, -321.933, 0.0000, -449.840, -324.780, 0.0000, 205, 120, 45
L -449.840, -324.780, 0.0000, -435.408, -321.933, 0.0000, 205, 120, 45
L -435.408, -321.933, 0.0000, -423.139, -313.818, 0.0000, 205, 120, 45
L -423.139, -313.818, 0.0000, -414.871, -301.652, 0.0000, 205, 120, 45
L -414.871, -301.652, 0.0000, -411.843, -287.258, 0.0000, 205, 120, 45
L -411.843, -287.258, 0.0000, -414.508, -272.791, 0.0000, 205, 120, 45
L -485.172, -122.791, 0.0000, -487.837, -137.258, 0.0000, 155, 48, 36
L -487.837, -137.258, 0.0000, -484.809, -151.652, 0.0000, 155, 48, 36
L -484.809, -151.652, 0.0000, -476.541, -163.818, 0.0000, 155, 48, 36
L -476.541, -163.818, 0.0000, -464.272, -171.933, 0.0000, 155, 48, 36
L -464.272, -171.933, 0.0000, -449.840, -174.780, 0.0000, 155, 48, 36
